 14071992 12    3 0060001 1   120***** ****** 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060002 1   100*****    25* 3 ** **00000000 **1***1*** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060003 1   109*****    24* 3 ** **00000000 **1******* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060004 1   101*****    25* 1 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060005 1    74*****    14* 1 ** **00000000 *****11*** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060006 1    66*****    14* 3 ** **00000000 *********1 LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060007 1    88*****    20* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060008 1    87*****    19* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060009 1    55*****    10* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060010 1    70*****    15* 3 ** **00000000 1********* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060011 1   114*****    32* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060012 1   110*****    28* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060013 1    57*****    11* 3 ** **00000000 *****1**** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060014 1    54*****    11* 1 ** **00000000 *******1** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060015 1    57*****    11* 3 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060016 2    62   43 ****** 3 ** 4400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060017 2    52   34 ****** 3 ** 1400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060018 2    58   38 ****** 3 ** 1400000000 ********2* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060019 2    57   36 ****** 3 ** 1400000000 ********1* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060020 2    54   34 ****** 3 ** 1400000000 *1******** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060021 2    53   34 ****** 3 ** 1400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060022 2    48   30 ****** 3 ** 2400000000 **1******* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060023 2    51   34 ****** 3 ** 1400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060024 2    67   47 ****** 3 ** 1400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060025 2    49   31 ****** 3 ** 2400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060026 2    52   32 ****** 3 ** 1400000000 **1******* LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060027 2    59   38 ****** 3 ** 2400000000 ****1***** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060028 2    63   39 ****** 3 ** 2400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060029 2    47   30 ****** 3 ** 2400000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060030 2    59   39 ****** 3 ** 1400000000 *********1 LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060031 2    59   37 ****** 3 ** 1400000000 *********1 LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060032 2    55   35 ****** 3 ** 1400000000 ******1*** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060033 2    62   39 ****** 3 ** 2400000000 *******1** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060034 2    28   12 ****** 1  1 **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
 14071992 12    3 0060035 1    26*****     4* 1 ** **00000000 ********** LC 015009.3 030043.6  40 **** ****       C. ALBERT/A. HEBERT   ***** *                
