 25091993 19    3 0020001 1    75*****    16* 4 ** **00000000 **11****** LC 014492.9 029176.9  34 * 45 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020002 1   117*****    31* 4 ** **00000000 ********** LC 014492.9 029176.9  34 * 89 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020003 1    78*****    15* 4 ** **00000000 *******1*1 LC 014492.9 029176.9  34 * 67 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020004 1   105*****    25* 3M** **00000000 *****1**11 LC 014492.9 029176.9  34 * 78 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020005 1    81*****    18* 4 ** **00000000 **1******* LC 014492.9 029176.9  34 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020006 1    45***** ****** 1 ** **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020007 1    36***** ****** 1 ** **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020008 1    39***** ****** 1 ** **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020009 1    38***** ****** 1 ** **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020010 1    34***** ****** 1 ** **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020011 2    78   53 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020012 2    71   51 ****** 3M** 1400000000 ********1* LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020013 2    68   44 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020014 2    58   39 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
