 08081994 12    3 0110001 1    61*****    13* 5 ** **00000000 *1**1***** LC 014886.0 029610.1  47 * 61 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110002 1   108*****    25* 3 ** **00000000 ****1***** LC 014886.0 029610.1  47 * 83 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110003 1   106*****    26* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 88 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110004 1    92*****    21* 3 ** **00000000 *1****1*** LC 014886.0 029610.1  47 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110005 1   124*****    31* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 83 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110006 1    93*****    21* 3 ** **00000000 **1***1*** LC 014886.0 029610.1  47 * 69 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110007 1   104*****    26* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110008 1   109*****    25* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 85 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110009 1   116*****    30* 3 ** **00000000 ****1***** LC 014886.0 029610.1  47 * 85 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110010 1   115*****    30* 3 ** **00000000 *1******** LC 014886.0 029610.1  47 * 76 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110011 1   112*****    28* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 89 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110012 1   106*****    27* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 83 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110013 1   112*****    29* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 82 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110014 1   114*****    30* 1 ** **00000000 ********** LC 014886.0 029610.1  47 * 58 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110015 1   117*****    31* 3 ** **00000000 1********* LC 014886.0 029610.1  47 * 82 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110016 1   115***** ****** 3 ** **00000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110017 1   104*****    26* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 77 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110018 1   107*****    25* 3 ** **00000000 *1******** LC 014886.0 029610.1  47 * 80 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110019 1   108*****    28* 3 ** **00000000 *1******** LC 014886.0 029610.1  47 * 78 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110020 1    95*****    22* 3 ** **00000000 ******1*** LC 014886.0 029610.1  47 * 75 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110021 1    93*****    20* 3 ** **00000000 ***1****** LC 014886.0 029610.1  47 * 77 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110022 1   100*****    23* 3 ** **00000000 ********** LC 014886.0 029610.1  47 * 83 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110023 1    85*****    20* 3 ** **00000000 ******1*** LC 014886.0 029610.1  47 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110024 1    93*****    22* 3 ** **00000000 ******11** LC 014886.0 029610.1  47 * 80 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110025 1    20***** ****** 1 ** **00000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110026 1    18***** ****** 1 ** **00000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110027 1    20***** ****** 1 ** **00000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110028 1    19***** ****** 1 ** **00000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110029 2    58   39 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110030 2    60   42 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110031 2    64   44 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110032 2    56   36 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110033 2    56   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110034 2    62   45 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110035 2    54   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110036 2    55   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110037 2    55   35 ****** 3 ** 1400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110038 2    62   43 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110039 2    49   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110040 2    57   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110041 2    59   40 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110042 2    48   32 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110043 2    52   35 ****** 3 ** 2400000000 ****1***** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110044 2    46   32 ****** 3 ** 2400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110045 2    44   28 ****** 3 ** 2400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110046 2    52   34 ****** 3 ** 2400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110047 2    54   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110048 2    47   30 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110049 2    62   41 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
