Year,Month,Day,townumber,towid,species,numbercaught,weightcaught,presence,english,latin,french,species,comment
1998,7,14,12,035,10,16,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1998,7,14,12,035,40,22,NA,1,American plaice,Hippoglossoides platessoides,Plie canadienne,plie blanche,
1998,7,14,12,035,41,4,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1998,7,14,12,035,202,3,NA,1,Smooth skate,Malacoraja senta,Raie lisse,raie,
1998,7,14,12,035,340,2,NA,1,Alligatorfish,Aspidophoroides monopterygius,Poisson-alligator atlantique,poisson alligator,
1998,7,14,12,035,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1998,7,14,12,035,1823,12,NA,1,Sea potato unspecified,BOLTENIA sp.,Patate de mer non spécifiée,patate de mer,
1998,7,14,12,035,2220,15,NA,1,Shrimp,Pasiphaea tarda,Sivade,crevette,
1998,7,14,12,035,2520,5,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1998,7,14,12,035,6100,3,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1998,7,14,12,035,6400,1,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1998,7,14,13,036,10,5,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1998,7,14,13,036,23,1,NA,1,Redfish unspecified,Sebastes sp.,Sébaste non spécifié,poisson rouge,
1998,7,14,13,036,40,60,NA,1,American plaice,Hippoglossoides platessoides,Plie canadienne,plie blanche,
1998,7,14,13,036,320,2,NA,1,Sea raven,Hemitripterus americanus,Hémitriptère atlantique,hémitriptère,
1998,7,14,13,036,340,10,NA,1,Alligatorfish,Aspidophoroides monopterygius,Poisson-alligator atlantique,poisson alligator,
1998,7,14,13,036,501,2,NA,1,Lumpfish,Cyclopterus lumpus,Grosse poule de mer,pas dans le logbook,
1998,7,14,13,036,598,4,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1998,7,14,13,036,1823,NA,NA,1,Sea potato unspecified,BOLTENIA sp.,Patate de mer non spécifiée,patate de mer,
