 01092003 12    3 0090001 1100.23***** 24.13* 2 ** **00000000 *******1** LL 00483471 00635258  85 * 71 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090002 1100.92***** 22.58* 3M** **00000000 ********1* LL 00483471 00635258  85 * 86 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090003 1118.34***** 29.84* 1 ** **00000000 ********** LL 00483471 00635258  85 * 60 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090004 1113.63***** 30.35* 3M** **00000000 *******1** LL 00483471 00635258  85 * 88 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090005 1 99.58***** 19.39* 1 ** **00000000 ********** LL 00483471 00635258  85 * 55 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090006 1 80.33***** 15.01* 3M** **00000000 ***1****** LL 00483471 00635258  85 * 59 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090007 1 89.19***** 19.95* 3M** **00000000 ********** LL 00483471 00635258  85 * 84 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090008 1 93.11***** 16.32* 1 ** **00000000 ********** LL 00483471 00635258  85 * 58 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090009 1 78.34***** 17.39* 3M** **00000000 ********** LL 00483471 00635258  85 * 85 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090010 1 85.81***** 14.18* 1 ** **00000000 ***1*1**** LL 00483471 00635258  85 * 61 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090011 1 90.18***** 22.48* 3M** **00000000 ********** LL 00483471 00635258  85 * 80 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090012 1 97.35***** 17.77* 1 ** **00000000 *****2**** LL 00483471 00635258  85 * 57 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090013 1105.92***** 25.19* 2 ** **00000000 ********** LL 00483471 00635258  85 * 72 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090014 1104.55***** 26.16* 2 ** **00000000 ********** LL 00483471 00635258  85 * 76 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090015 1 64.92***** 11.91* 1 ** **00000000 ***1****** LL 00483471 00635258  85 * 67 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090016 1 69.27***** 14.26* 3M** **00000000 *****2**** LL 00483471 00635258  85 * 57 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090017 1 72.48***** 12.08* 1 ** **00000000 ********** LL 00483471 00635258  85 * 58 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090018 1 62.18***** 10.25* 3M** **00000000 ********** LL 00483471 00635258  85 * 55 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090019 1 73.06***** 15.86* 1 ** **00000000 **11****** LL 00483471 00635258  85 * 45 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090020 1 64.26***** 11.00* 1 ** **00000000 *****2**** LL 00483471 00635258  85 * 60 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090021 1 57.25*****  9.00* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090022 1 50.31*****  7.68* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090023 1 47.65*****  7.02* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090024 1 37.55*****  4.95* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090025 1 42.32*****  5.19* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090026 1 45.06*****  6.43* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090027 1 55.17*****  8.44* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090028 1 37.20*****  4.98* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090029 1 56.10*****  7.95* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090030 1 59.94*****  8.91* 1 ** **00000000 ****1***** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090031 1 60.24*****  9.17* 1 ** **00000000 ********** LL 00483471 00635258  85 * 54 ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090032 1 47.91*****  7.12* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090033 1 56.14*****  8.82* 1 ** **00000000 *****1**** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090034 1 38.65*****  5.68* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090035 1 31.78*****  4.50* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090036 1 40.21*****  5.00* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090037 1 41.05*****  6.20* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090038 1 29.31*****  3.41* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090039 1 30.66*****  4.41* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090040 1 32.69*****  4.27* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090041 1 43.85*****  6.19* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090042 1 40.89*****  5.31* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090043 1 44.88*****  6.54* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090044 1 35.62*****  4.58* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090045 1 41.44*****  6.00* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090046 1 41.57*****  5.45* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090047 1 42.63*****  5.75* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090048 1 32.34*****  4.51* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090049 1 39.38*****  5.55* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090050 1 40.28*****  5.85* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090051 1 30.87*****  4.53* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090052 1 30.77*****  3.91* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090053 1 32.19*****  4.46* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090054 1 33.01*****  4.83* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090055 1 30.77*****  4.53* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090056 1 31.29*****  4.18* 1 ** **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090057 2 40.3319.78 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090058 2 39.7918.57 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090059 2 41.6518.99 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090060 2 35.7315.86 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090061 2 42.8320.28 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090062 2 41.6319.87 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090063 2 35.7716.96 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090064 2 33.4014.07 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090065 2 35.3916.49 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090066 2 35.7715.94 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090067 2 29.4313.44 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090068 2 34.9115.30 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090069 2 41.0920.24 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090070 2 43.2120.31 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
 01092003 12    3 0090071 2 41.0520.61 ****** 1  1 **00000000 ********** LL 00483471 00635258  85 **** ****       C.ALBERT/S.ALBERT     ***** *                
