 30072009 12    3 0040001 1119.64***** 29.62* 1 ** **00000000 ********** LL 04700174 06343361  26 * 72 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040002 1 71.52***** 12.23* 1 ** **00000000 ********** LL 04700174 06343361  26 * 52 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040003 1 71.49***** 11.62* 1 ** **00000000 ********** LL 04700174 06343361  26 * 53 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040004 1 72.75***** 12.37* 1 ** **00000000 ********** LL 04700174 06343361  26 * 47 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040005 1 74.45***** 12.85* 1 ** **00000000 ********** LL 04700174 06343361  26 * 47 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040006 1 65.56***** 10.79* 1 ** **00000000 ********** LL 04700174 06343361  26 * 50 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040007 1 67.98***** 11.12* 1 ** **00000000 ********** LL 04700174 06343361  26 * 46 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040008 1 66.57***** 10.98* 1 ** **00000000 ********** LL 04700174 06343361  26 * 52 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040009 1 67.20***** 11.73* 1 ** **00000000 ********** LL 04700174 06343361  26 * 54 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040010 1 67.30***** 11.43* 1 ** **00000000 ********** LL 04700174 06343361  26 * 48 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040011 1 69.03***** 11.81* 1 ** **00000000 ********** LL 04700174 06343361  26 * 53 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040012 1 70.86***** 12.88* 1 ** **00000000 ********** LL 04700174 06343361  26 * 57 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040013 1 62.76***** 10.45* 1 ** **00000000 ********** LL 04700174 06343361  26 * 51 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040014 1 70.85***** 12.35* 1 ** **00000000 ********** LL 04700174 06343361  26 * 52 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040015 1 66.10***** 11.07* 1 ** **00000000 ********** LL 04700174 06343361  26 * 53 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040016 1 65.92***** 11.45* 1 ** **00000000 ********** LL 04700174 06343361  26 * 53 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040017 1 57.35*****  9.48* 1 ** **00000000 ********** LL 04700174 06343361  26 * 55 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040018 1 53.82*****  8.68* 1 ** **00000000 *2******** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040019 1 57.01*****  8.41* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040020 1 53.01*****  8.71* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040021 1 53.74*****  8.42* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040022 1 69.16***** 11.41* 1 ** **00000000 2********* LL 04700174 06343361  26 * 54 ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040023 1 56.47*****  9.19* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040024 1 49.82*****  7.69* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040025 1 49.83*****  7.68* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040026 1 50.49*****  7.95* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040027 1 42.27*****  6.29* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040028 1 46.41*****  7.01* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040029 1 40.84*****  6.24* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040030 1 36.20*****  5.27* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040031 1 36.52*****  5.40* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040032 1 36.11*****  5.31* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040033 1 37.05*****  5.63* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040034 1 31.01*****  4.51* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040035 1 26.52*****  3.85* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040036 1 26.10*****  3.79* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040037 1 27.00*****  3.87* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040038 1 27.34*****  3.86* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040039 1 19.56*****  2.56* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040040 1 18.29*****  2.53* 1 ** **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040041 2 71.5248.36 ****** 2 ** 2400000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040042 2 71.0636.63 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040043 2 65.9533.46 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040044 2 60.3732.47 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040045 2 57.1529.57 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040046 2 61.5532.46 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040047 2 60.1531.60 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040048 2 55.7829.28 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040049 2 58.3830.96 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040050 2 59.3532.12 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040051 2 57.0430.39 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040052 2 63.6333.46 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040053 2 56.3628.33 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040054 2 56.0228.55 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040055 2 56.7628.43 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040056 2 53.5027.08 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040057 2 54.0225.15 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040058 2 55.7227.09 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040059 2 56.2928.15 ****** 1  3 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040060 2 42.9319.33 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
